"Strain","Plasmid","Replicate","Inducer","Media","Type","Plate","well","time","OD600","row","column"
"E.coli EW11","DV130",4,"DMSO","M9sa","Structural",1,"C4",18669.253,0.1581,"C",4
"E.coli EW11","DV130",5,"DMSO","M9sa","Structural",1,"C5",18669.253,0.1503,"C",5
"E.coli EW11","DV130",6,"DMSO","M9sa","Structural",1,"C6",18669.253,0.1308,"C",6
"E.coli EW11","DV130",1,"4-HT","M9sa","Structural",1,"C7",18669.253,0.1671,"C",7
"E.coli EW11","DV130",2,"4-HT","M9sa","Structural",1,"C8",18669.253,0.1165,"C",8
"E.coli EW11","DV130",3,"4-HT","M9sa","Structural",1,"C9",18669.253,0.1527,"C",9
"E.coli EW11","DV130",4,"4-HT","M9sa","Structural",1,"C10",18669.253,0.1207,"C",10
"E.coli EW11","DV130",5,"4-HT","M9sa","Structural",1,"C11",18669.253,0.1451,"C",11
"E.coli EW11","DV130",6,"4-HT","M9sa","Structural",1,"C12",18669.253,0.112,"C",12
"E.coli EW11","DV264",1,"DMSO","M9sa","Dynamic",1,"D1",18669.253,0.1071,"D",1
"E.coli EW11","DV264",2,"DMSO","M9sa","Dynamic",1,"D2",18669.253,0.1572,"D",2
"E.coli EW11","DV264",3,"DMSO","M9sa","Dynamic",1,"D3",18669.253,0.1647,"D",3
"E.coli EW11","DV264",4,"DMSO","M9sa","Dynamic",1,"D4",18669.253,0.1709,"D",4
"E.coli EW11","DV264",5,"DMSO","M9sa","Dynamic",1,"D5",18669.253,0.1532,"D",5
"E.coli EW11","DV264",6,"DMSO","M9sa","Dynamic",1,"D6",18669.253,0.1622,"D",6
"E.coli EW11","DV264",1,"4-HT","M9sa","Dynamic",1,"D7",18669.253,0.1406,"D",7
"E.coli EW11","DV264",2,"4-HT","M9sa","Dynamic",1,"D8",18669.253,0.1351,"D",8
"E.coli EW11","DV264",3,"4-HT","M9sa","Dynamic",1,"D9",18669.253,0.1526,"D",9
"E.coli EW11","DV264",4,"4-HT","M9sa","Dynamic",1,"D10",18669.253,0.1342,"D",10
"E.coli EW11","DV264",5,"4-HT","M9sa","Dynamic",1,"D11",18669.253,0.1383,"D",11
"E.coli EW11","DV264",6,"4-HT","M9sa","Dynamic",1,"D12",18669.253,0.1261,"D",12
"E.coli EW11","DV496",1,"DMSO","M9sa","Dynamic",1,"E1",18669.253,0.2124,"E",1
"E.coli EW11","DV496",2,"DMSO","M9sa","Dynamic",1,"E2",18669.253,0.1707,"E",2
"E.coli EW11","DV496",3,"DMSO","M9sa","Dynamic",1,"E3",18669.253,0.1429,"E",3
"E.coli EW11","DV496",4,"DMSO","M9sa","Dynamic",1,"E4",18669.253,0.1458,"E",4
"E.coli EW11","DV496",5,"DMSO","M9sa","Dynamic",1,"E5",18669.253,0.1664,"E",5
"E.coli EW11","DV496",6,"DMSO","M9sa","Dynamic",1,"E6",18669.253,0.1674,"E",6
"E.coli EW11","DV496",1,"4-HT","M9sa","Dynamic",1,"E7",18669.253,0.1802,"E",7
"E.coli EW11","DV496",2,"4-HT","M9sa","Dynamic",1,"E8",18669.253,0.2022,"E",8
"E.coli EW11","DV496",3,"4-HT","M9sa","Dynamic",1,"E9",18669.253,0.1154,"E",9
"E.coli EW11","DV496",4,"4-HT","M9sa","Dynamic",1,"E10",18669.253,0.1116,"E",10
"E.coli EW11","DV496",5,"4-HT","M9sa","Dynamic",1,"E11",18669.253,0.1562,"E",11
"E.coli EW11","DV496",6,"4-HT","M9sa","Dynamic",1,"E12",18669.253,0.143,"E",12
"E.coli EW11","DV543",1,"DMSO","M9sa","Distal",1,"F1",18669.253,0.1628,"F",1
"E.coli EW11","DV543",2,"DMSO","M9sa","Distal",1,"F2",18669.253,0.1604,"F",2
"E.coli EW11","DV543",3,"DMSO","M9sa","Distal",1,"F3",18669.253,0.1571,"F",3
"E.coli EW11","DV543",4,"DMSO","M9sa","Distal",1,"F4",18669.253,0.1631,"F",4
"E.coli EW11","DV543",5,"DMSO","M9sa","Distal",1,"F5",18669.253,0.1598,"F",5
"E.coli EW11","DV543",6,"DMSO","M9sa","Distal",1,"F6",18669.253,0.167,"F",6
"E.coli EW11","DV543",1,"4-HT","M9sa","Distal",1,"F7",18669.253,0.1327,"F",7
"E.coli EW11","DV543",2,"4-HT","M9sa","Distal",1,"F8",18669.253,0.161,"F",8
"E.coli EW11","DV543",3,"4-HT","M9sa","Distal",1,"F9",18669.253,0.1437,"F",9
"E.coli EW11","DV543",4,"4-HT","M9sa","Distal",1,"F10",18669.253,0.1336,"F",10
"E.coli EW11","DV543",5,"4-HT","M9sa","Distal",1,"F11",18669.253,0.1292,"F",11
"E.coli EW11","DV543",6,"4-HT","M9sa","Distal",1,"F12",18669.253,0.1237,"F",12
"E.coli EW11","DV565",1,"DMSO","M9sa","Distal",1,"G1",18669.253,0.3589,"G",1
"E.coli EW11","DV565",2,"DMSO","M9sa","Distal",1,"G2",18669.253,0.2377,"G",2
"E.coli EW11","DV565",3,"DMSO","M9sa","Distal",1,"G3",18669.253,0.4368,"G",3
"E.coli EW11","DV565",4,"DMSO","M9sa","Distal",1,"G4",18669.253,0.3905,"G",4
"E.coli EW11","DV565",5,"DMSO","M9sa","Distal",1,"G5",18669.253,0.3185,"G",5
"E.coli EW11","DV565",6,"DMSO","M9sa","Distal",1,"G6",18669.253,0.4014,"G",6
"E.coli EW11","DV565",1,"4-HT","M9sa","Distal",1,"G7",18669.253,0.2388,"G",7
"E.coli EW11","DV565",2,"4-HT","M9sa","Distal",1,"G8",18669.253,0.1175,"G",8
"E.coli EW11","DV565",3,"4-HT","M9sa","Distal",1,"G9",18669.253,0.2465,"G",9
"E.coli EW11","DV565",4,"4-HT","M9sa","Distal",1,"G10",18669.253,0.1598,"G",10
"E.coli EW11","DV565",5,"4-HT","M9sa","Distal",1,"G11",18669.253,0.1846,"G",11
"E.coli EW11","DV565",6,"4-HT","M9sa","Distal",1,"G12",18669.253,0.2066,"G",12
"E.coli EW11","pLW003",1,"DMSO","M9sa","NegCtrl",1,"H1",18669.253,0.1058,"H",1
"E.coli EW11","pLW003",2,"DMSO","M9sa","NegCtrl",1,"H2",18669.253,0.1325,"H",2
"E.coli EW11","pLW003",3,"DMSO","M9sa","NegCtrl",1,"H3",18669.253,0.1039,"H",3
"E.coli EW11","pLW003",4,"DMSO","M9sa","NegCtrl",1,"H4",18669.253,0.0956,"H",4
"E.coli EW11","pLW003",5,"DMSO","M9sa","NegCtrl",1,"H5",18669.253,0.1019,"H",5
"E.coli EW11","pLW003",6,"DMSO","M9sa","NegCtrl",1,"H6",18669.253,0.1551,"H",6
"E.coli EW11","pLW003",1,"4-HT","M9sa","NegCtrl",1,"H7",18669.253,0.089,"H",7
"E.coli EW11","pLW003",2,"4-HT","M9sa","NegCtrl",1,"H8",18669.253,0.0928,"H",8
"E.coli EW11","pLW003",3,"4-HT","M9sa","NegCtrl",1,"H9",18669.253,0.0789,"H",9
"E.coli EW11","pLW003",4,"4-HT","M9sa","NegCtrl",1,"H10",18669.253,0.0804,"H",10
"E.coli EW11","pLW003",5,"4-HT","M9sa","NegCtrl",1,"H11",18669.253,0.0961,"H",11
"E.coli EW11","pLW003",6,"4-HT","M9sa","NegCtrl",1,"H12",18669.253,0.0805,"H",12
"E.coli EW11","pLW002",1,"DMSO","M9sa","PosCtrl",1,"A1",19291.543,0.4767,"A",1
"E.coli EW11","pLW002",2,"DMSO","M9sa","PosCtrl",1,"A2",19291.543,0.2463,"A",2
"E.coli EW11","pLW002",3,"DMSO","M9sa","PosCtrl",1,"A3",19291.543,0.3909,"A",3
"E.coli EW11","pLW002",4,"DMSO","M9sa","PosCtrl",1,"A4",19291.543,0.1729,"A",4
"E.coli EW11","pLW002",5,"DMSO","M9sa","PosCtrl",1,"A5",19291.543,0.3729,"A",5
"E.coli EW11","pLW002",6,"DMSO","M9sa","PosCtrl",1,"A6",19291.543,0.3239,"A",6
"E.coli EW11","pLW002",1,"4-HT","M9sa","PosCtrl",1,"A7",19291.543,0.4545,"A",7
"E.coli EW11","pLW002",2,"4-HT","M9sa","PosCtrl",1,"A8",19291.543,0.2533,"A",8
"E.coli EW11","pLW002",3,"4-HT","M9sa","PosCtrl",1,"A9",19291.543,0.3484,"A",9
"E.coli EW11","pLW002",4,"4-HT","M9sa","PosCtrl",1,"A10",19291.543,0.1296,"A",10
"E.coli EW11","pLW002",5,"4-HT","M9sa","PosCtrl",1,"A11",19291.543,0.2867,"A",11
"E.coli EW11","pLW002",6,"4-HT","M9sa","PosCtrl",1,"A12",19291.543,0.2278,"A",12
"E.coli EW11","DV41",1,"DMSO","M9sa","Structural",1,"B1",19291.543,0.1438,"B",1
"E.coli EW11","DV41",2,"DMSO","M9sa","Structural",1,"B2",19291.543,0.1357,"B",2
"E.coli EW11","DV41",3,"DMSO","M9sa","Structural",1,"B3",19291.543,0.1354,"B",3
"E.coli EW11","DV41",4,"DMSO","M9sa","Structural",1,"B4",19291.543,0.1342,"B",4
"E.coli EW11","DV41",5,"DMSO","M9sa","Structural",1,"B5",19291.543,0.1184,"B",5
"E.coli EW11","DV41",6,"DMSO","M9sa","Structural",1,"B6",19291.543,0.1194,"B",6
"E.coli EW11","DV41",1,"4-HT","M9sa","Structural",1,"B7",19291.543,0.098,"B",7
"E.coli EW11","DV41",2,"4-HT","M9sa","Structural",1,"B8",19291.543,0.0888,"B",8
"E.coli EW11","DV41",3,"4-HT","M9sa","Structural",1,"B9",19291.543,0.0803,"B",9
"E.coli EW11","DV41",4,"4-HT","M9sa","Structural",1,"B10",19291.543,0.0926,"B",10
"E.coli EW11","DV41",5,"4-HT","M9sa","Structural",1,"B11",19291.543,0.1086,"B",11
"E.coli EW11","DV41",6,"4-HT","M9sa","Structural",1,"B12",19291.543,0.0788,"B",12
"E.coli EW11","DV130",1,"DMSO","M9sa","Structural",1,"C1",19291.543,0.176,"C",1
"E.coli EW11","DV130",2,"DMSO","M9sa","Structural",1,"C2",19291.543,0.1516,"C",2
"E.coli EW11","DV130",3,"DMSO","M9sa","Structural",1,"C3",19291.543,0.16,"C",3
"E.coli EW11","DV130",4,"DMSO","M9sa","Structural",1,"C4",19291.543,0.1601,"C",4
"E.coli EW11","DV130",5,"DMSO","M9sa","Structural",1,"C5",19291.543,0.1533,"C",5
"E.coli EW11","DV130",6,"DMSO","M9sa","Structural",1,"C6",19291.543,0.134,"C",6
"E.coli EW11","DV130",1,"4-HT","M9sa","Structural",1,"C7",19291.543,0.1757,"C",7
"E.coli EW11","DV130",2,"4-HT","M9sa","Structural",1,"C8",19291.543,0.1285,"C",8
"E.coli EW11","DV130",3,"4-HT","M9sa","Structural",1,"C9",19291.543,0.1607,"C",9
"E.coli EW11","DV130",4,"4-HT","M9sa","Structural",1,"C10",19291.543,0.1261,"C",10
"E.coli EW11","DV130",5,"4-HT","M9sa","Structural",1,"C11",19291.543,0.1522,"C",11
"E.coli EW11","DV130",6,"4-HT","M9sa","Structural",1,"C12",19291.543,0.1206,"C",12
"E.coli EW11","DV264",1,"DMSO","M9sa","Dynamic",1,"D1",19291.543,0.1078,"D",1
"E.coli EW11","DV264",2,"DMSO","M9sa","Dynamic",1,"D2",19291.543,0.1592,"D",2
"E.coli EW11","DV264",3,"DMSO","M9sa","Dynamic",1,"D3",19291.543,0.17,"D",3
"E.coli EW11","DV264",4,"DMSO","M9sa","Dynamic",1,"D4",19291.543,0.1741,"D",4
"E.coli EW11","DV264",5,"DMSO","M9sa","Dynamic",1,"D5",19291.543,0.1556,"D",5
"E.coli EW11","DV264",6,"DMSO","M9sa","Dynamic",1,"D6",19291.543,0.1639,"D",6
"E.coli EW11","DV264",1,"4-HT","M9sa","Dynamic",1,"D7",19291.543,0.1597,"D",7
"E.coli EW11","DV264",2,"4-HT","M9sa","Dynamic",1,"D8",19291.543,0.1225,"D",8
"E.coli EW11","DV264",3,"4-HT","M9sa","Dynamic",1,"D9",19291.543,0.1483,"D",9
"E.coli EW11","DV264",4,"4-HT","M9sa","Dynamic",1,"D10",19291.543,0.1428,"D",10
"E.coli EW11","DV264",5,"4-HT","M9sa","Dynamic",1,"D11",19291.543,0.1455,"D",11
"E.coli EW11","DV264",6,"4-HT","M9sa","Dynamic",1,"D12",19291.543,0.1349,"D",12
"E.coli EW11","DV496",1,"DMSO","M9sa","Dynamic",1,"E1",19291.543,0.2404,"E",1
"E.coli EW11","DV496",2,"DMSO","M9sa","Dynamic",1,"E2",19291.543,0.1782,"E",2
"E.coli EW11","DV496",3,"DMSO","M9sa","Dynamic",1,"E3",19291.543,0.1456,"E",3
"E.coli EW11","DV496",4,"DMSO","M9sa","Dynamic",1,"E4",19291.543,0.1473,"E",4
"E.coli EW11","DV496",5,"DMSO","M9sa","Dynamic",1,"E5",19291.543,0.1687,"E",5
"E.coli EW11","DV496",6,"DMSO","M9sa","Dynamic",1,"E6",19291.543,0.1748,"E",6
"E.coli EW11","DV496",1,"4-HT","M9sa","Dynamic",1,"E7",19291.543,0.1744,"E",7
"E.coli EW11","DV496",2,"4-HT","M9sa","Dynamic",1,"E8",19291.543,0.2178,"E",8
"E.coli EW11","DV496",3,"4-HT","M9sa","Dynamic",1,"E9",19291.543,0.1204,"E",9
"E.coli EW11","DV496",4,"4-HT","M9sa","Dynamic",1,"E10",19291.543,0.1295,"E",10
"E.coli EW11","DV496",5,"4-HT","M9sa","Dynamic",1,"E11",19291.543,0.1672,"E",11
"E.coli EW11","DV496",6,"4-HT","M9sa","Dynamic",1,"E12",19291.543,0.1527,"E",12
"E.coli EW11","DV543",1,"DMSO","M9sa","Distal",1,"F1",19291.543,0.1648,"F",1
"E.coli EW11","DV543",2,"DMSO","M9sa","Distal",1,"F2",19291.543,0.1604,"F",2
"E.coli EW11","DV543",3,"DMSO","M9sa","Distal",1,"F3",19291.543,0.1614,"F",3
"E.coli EW11","DV543",4,"DMSO","M9sa","Distal",1,"F4",19291.543,0.1549,"F",4
"E.coli EW11","DV543",5,"DMSO","M9sa","Distal",1,"F5",19291.543,0.1609,"F",5
"E.coli EW11","DV543",6,"DMSO","M9sa","Distal",1,"F6",19291.543,0.1731,"F",6
"E.coli EW11","DV543",1,"4-HT","M9sa","Distal",1,"F7",19291.543,0.1365,"F",7
"E.coli EW11","DV543",2,"4-HT","M9sa","Distal",1,"F8",19291.543,0.1432,"F",8
"E.coli EW11","DV543",3,"4-HT","M9sa","Distal",1,"F9",19291.543,0.1261,"F",9
"E.coli EW11","DV543",4,"4-HT","M9sa","Distal",1,"F10",19291.543,0.1377,"F",10
"E.coli EW11","DV543",5,"4-HT","M9sa","Distal",1,"F11",19291.543,0.146,"F",11
"E.coli EW11","DV543",6,"4-HT","M9sa","Distal",1,"F12",19291.543,0.1309,"F",12
"E.coli EW11","DV565",1,"DMSO","M9sa","Distal",1,"G1",19291.543,0.3819,"G",1
"E.coli EW11","DV565",2,"DMSO","M9sa","Distal",1,"G2",19291.543,0.2509,"G",2
"E.coli EW11","DV565",3,"DMSO","M9sa","Distal",1,"G3",19291.543,0.4641,"G",3
"E.coli EW11","DV565",4,"DMSO","M9sa","Distal",1,"G4",19291.543,0.4194,"G",4
"E.coli EW11","DV565",5,"DMSO","M9sa","Distal",1,"G5",19291.543,0.3444,"G",5
"E.coli EW11","DV565",6,"DMSO","M9sa","Distal",1,"G6",19291.543,0.4337,"G",6
"E.coli EW11","DV565",1,"4-HT","M9sa","Distal",1,"G7",19291.543,0.2687,"G",7
"E.coli EW11","DV565",2,"4-HT","M9sa","Distal",1,"G8",19291.543,0.1361,"G",8
"E.coli EW11","DV565",3,"4-HT","M9sa","Distal",1,"G9",19291.543,0.3284,"G",9
"E.coli EW11","DV565",4,"4-HT","M9sa","Distal",1,"G10",19291.543,0.1549,"G",10
"E.coli EW11","DV565",5,"4-HT","M9sa","Distal",1,"G11",19291.543,0.2152,"G",11
"E.coli EW11","DV565",6,"4-HT","M9sa","Distal",1,"G12",19291.543,0.2185,"G",12
"E.coli EW11","pLW003",1,"DMSO","M9sa","NegCtrl",1,"H1",19291.543,0.1076,"H",1
"E.coli EW11","pLW003",2,"DMSO","M9sa","NegCtrl",1,"H2",19291.543,0.1327,"H",2
"E.coli EW11","pLW003",3,"DMSO","M9sa","NegCtrl",1,"H3",19291.543,0.1548,"H",3
"E.coli EW11","pLW003",4,"DMSO","M9sa","NegCtrl",1,"H4",19291.543,0.0943,"H",4
"E.coli EW11","pLW003",5,"DMSO","M9sa","NegCtrl",1,"H5",19291.543,0.0995,"H",5
"E.coli EW11","pLW003",6,"DMSO","M9sa","NegCtrl",1,"H6",19291.543,0.1465,"H",6
"E.coli EW11","pLW003",1,"4-HT","M9sa","NegCtrl",1,"H7",19291.543,0.0896,"H",7
"E.coli EW11","pLW003",2,"4-HT","M9sa","NegCtrl",1,"H8",19291.543,0.0949,"H",8
"E.coli EW11","pLW003",3,"4-HT","M9sa","NegCtrl",1,"H9",19291.543,0.0795,"H",9
"E.coli EW11","pLW003",4,"4-HT","M9sa","NegCtrl",1,"H10",19291.543,0.0801,"H",10
"E.coli EW11","pLW003",5,"4-HT","M9sa","NegCtrl",1,"H11",19291.543,0.0804,"H",11
"E.coli EW11","pLW003",6,"4-HT","M9sa","NegCtrl",1,"H12",19291.543,0.0792,"H",12
"E.coli EW11","pLW002",1,"DMSO","M9sa","PosCtrl",1,"A1",19913.679,0.5168,"A",1
"E.coli EW11","pLW002",2,"DMSO","M9sa","PosCtrl",1,"A2",19913.679,0.2604,"A",2
"E.coli EW11","pLW002",3,"DMSO","M9sa","PosCtrl",1,"A3",19913.679,0.3993,"A",3
"E.coli EW11","pLW002",4,"DMSO","M9sa","PosCtrl",1,"A4",19913.679,0.1837,"A",4
"E.coli EW11","pLW002",5,"DMSO","M9sa","PosCtrl",1,"A5",19913.679,0.4035,"A",5
"E.coli EW11","pLW002",6,"DMSO","M9sa","PosCtrl",1,"A6",19913.679,0.3393,"A",6
"E.coli EW11","pLW002",1,"4-HT","M9sa","PosCtrl",1,"A7",19913.679,0.4622,"A",7
"E.coli EW11","pLW002",2,"4-HT","M9sa","PosCtrl",1,"A8",19913.679,0.2735,"A",8
"E.coli EW11","pLW002",3,"4-HT","M9sa","PosCtrl",1,"A9",19913.679,0.4595,"A",9
"E.coli EW11","pLW002",4,"4-HT","M9sa","PosCtrl",1,"A10",19913.679,0.1441,"A",10
"E.coli EW11","pLW002",5,"4-HT","M9sa","PosCtrl",1,"A11",19913.679,0.3115,"A",11
"E.coli EW11","pLW002",6,"4-HT","M9sa","PosCtrl",1,"A12",19913.679,0.2571,"A",12
"E.coli EW11","DV41",1,"DMSO","M9sa","Structural",1,"B1",19913.679,0.145,"B",1
"E.coli EW11","DV41",2,"DMSO","M9sa","Structural",1,"B2",19913.679,0.1358,"B",2
"E.coli EW11","DV41",3,"DMSO","M9sa","Structural",1,"B3",19913.679,0.1342,"B",3
"E.coli EW11","DV41",4,"DMSO","M9sa","Structural",1,"B4",19913.679,0.1351,"B",4
"E.coli EW11","DV41",5,"DMSO","M9sa","Structural",1,"B5",19913.679,0.1237,"B",5
"E.coli EW11","DV41",6,"DMSO","M9sa","Structural",1,"B6",19913.679,0.1217,"B",6
"E.coli EW11","DV41",1,"4-HT","M9sa","Structural",1,"B7",19913.679,0.0986,"B",7
"E.coli EW11","DV41",2,"4-HT","M9sa","Structural",1,"B8",19913.679,0.0857,"B",8
"E.coli EW11","DV41",3,"4-HT","M9sa","Structural",1,"B9",19913.679,0.0887,"B",9
"E.coli EW11","DV41",4,"4-HT","M9sa","Structural",1,"B10",19913.679,0.0897,"B",10
"E.coli EW11","DV41",5,"4-HT","M9sa","Structural",1,"B11",19913.679,0.1183,"B",11
"E.coli EW11","DV41",6,"4-HT","M9sa","Structural",1,"B12",19913.679,0.0803,"B",12
"E.coli EW11","DV130",1,"DMSO","M9sa","Structural",1,"C1",19913.679,0.1776,"C",1
"E.coli EW11","DV130",2,"DMSO","M9sa","Structural",1,"C2",19913.679,0.1649,"C",2
"E.coli EW11","DV130",3,"DMSO","M9sa","Structural",1,"C3",19913.679,0.1615,"C",3
"E.coli EW11","DV130",4,"DMSO","M9sa","Structural",1,"C4",19913.679,0.1633,"C",4
"E.coli EW11","DV130",5,"DMSO","M9sa","Structural",1,"C5",19913.679,0.1536,"C",5
"E.coli EW11","DV130",6,"DMSO","M9sa","Structural",1,"C6",19913.679,0.1367,"C",6
"E.coli EW11","DV130",1,"4-HT","M9sa","Structural",1,"C7",19913.679,0.1691,"C",7
"E.coli EW11","DV130",2,"4-HT","M9sa","Structural",1,"C8",19913.679,0.1447,"C",8
"E.coli EW11","DV130",3,"4-HT","M9sa","Structural",1,"C9",19913.679,0.1625,"C",9
"E.coli EW11","DV130",4,"4-HT","M9sa","Structural",1,"C10",19913.679,0.1313,"C",10
"E.coli EW11","DV130",5,"4-HT","M9sa","Structural",1,"C11",19913.679,0.1639,"C",11
"E.coli EW11","DV130",6,"4-HT","M9sa","Structural",1,"C12",19913.679,0.1194,"C",12
"E.coli EW11","DV264",1,"DMSO","M9sa","Dynamic",1,"D1",19913.679,0.1088,"D",1
"E.coli EW11","DV264",2,"DMSO","M9sa","Dynamic",1,"D2",19913.679,0.1618,"D",2
"E.coli EW11","DV264",3,"DMSO","M9sa","Dynamic",1,"D3",19913.679,0.1712,"D",3
"E.coli EW11","DV264",4,"DMSO","M9sa","Dynamic",1,"D4",19913.679,0.1731,"D",4
"E.coli EW11","DV264",5,"DMSO","M9sa","Dynamic",1,"D5",19913.679,0.1592,"D",5
"E.coli EW11","DV264",6,"DMSO","M9sa","Dynamic",1,"D6",19913.679,0.1699,"D",6
"E.coli EW11","DV264",1,"4-HT","M9sa","Dynamic",1,"D7",19913.679,0.1566,"D",7
"E.coli EW11","DV264",2,"4-HT","M9sa","Dynamic",1,"D8",19913.679,0.1334,"D",8
"E.coli EW11","DV264",3,"4-HT","M9sa","Dynamic",1,"D9",19913.679,0.1492,"D",9
"E.coli EW11","DV264",4,"4-HT","M9sa","Dynamic",1,"D10",19913.679,0.1497,"D",10
"E.coli EW11","DV264",5,"4-HT","M9sa","Dynamic",1,"D11",19913.679,0.1421,"D",11
"E.coli EW11","DV264",6,"4-HT","M9sa","Dynamic",1,"D12",19913.679,0.1258,"D",12
"E.coli EW11","DV496",1,"DMSO","M9sa","Dynamic",1,"E1",19913.679,0.2301,"E",1
"E.coli EW11","DV496",2,"DMSO","M9sa","Dynamic",1,"E2",19913.679,0.1828,"E",2
"E.coli EW11","DV496",3,"DMSO","M9sa","Dynamic",1,"E3",19913.679,0.1483,"E",3
"E.coli EW11","DV496",4,"DMSO","M9sa","Dynamic",1,"E4",19913.679,0.1496,"E",4
"E.coli EW11","DV496",5,"DMSO","M9sa","Dynamic",1,"E5",19913.679,0.173,"E",5
"E.coli EW11","DV496",6,"DMSO","M9sa","Dynamic",1,"E6",19913.679,0.1827,"E",6
"E.coli EW11","DV496",1,"4-HT","M9sa","Dynamic",1,"E7",19913.679,0.1828,"E",7
"E.coli EW11","DV496",2,"4-HT","M9sa","Dynamic",1,"E8",19913.679,0.2206,"E",8
"E.coli EW11","DV496",3,"4-HT","M9sa","Dynamic",1,"E9",19913.679,0.1008,"E",9
"E.coli EW11","DV496",4,"4-HT","M9sa","Dynamic",1,"E10",19913.679,0.1423,"E",10
"E.coli EW11","DV496",5,"4-HT","M9sa","Dynamic",1,"E11",19913.679,0.1856,"E",11
"E.coli EW11","DV496",6,"4-HT","M9sa","Dynamic",1,"E12",19913.679,0.1666,"E",12
"E.coli EW11","DV543",1,"DMSO","M9sa","Distal",1,"F1",19913.679,0.1656,"F",1
"E.coli EW11","DV543",2,"DMSO","M9sa","Distal",1,"F2",19913.679,0.1614,"F",2
"E.coli EW11","DV543",3,"DMSO","M9sa","Distal",1,"F3",19913.679,0.1656,"F",3
"E.coli EW11","DV543",4,"DMSO","M9sa","Distal",1,"F4",19913.679,0.1557,"F",4
"E.coli EW11","DV543",5,"DMSO","M9sa","Distal",1,"F5",19913.679,0.1626,"F",5
"E.coli EW11","DV543",6,"DMSO","M9sa","Distal",1,"F6",19913.679,0.1753,"F",6
"E.coli EW11","DV543",1,"4-HT","M9sa","Distal",1,"F7",19913.679,0.1524,"F",7
"E.coli EW11","DV543",2,"4-HT","M9sa","Distal",1,"F8",19913.679,0.1655,"F",8
"E.coli EW11","DV543",3,"4-HT","M9sa","Distal",1,"F9",19913.679,0.1221,"F",9
"E.coli EW11","DV543",4,"4-HT","M9sa","Distal",1,"F10",19913.679,0.1451,"F",10
"E.coli EW11","DV543",5,"4-HT","M9sa","Distal",1,"F11",19913.679,0.1446,"F",11
"E.coli EW11","DV543",6,"4-HT","M9sa","Distal",1,"F12",19913.679,0.1348,"F",12
"E.coli EW11","DV565",1,"DMSO","M9sa","Distal",1,"G1",19913.679,0.4042,"G",1
"E.coli EW11","DV565",2,"DMSO","M9sa","Distal",1,"G2",19913.679,0.2735,"G",2
"E.coli EW11","DV565",3,"DMSO","M9sa","Distal",1,"G3",19913.679,0.4905,"G",3
"E.coli EW11","DV565",4,"DMSO","M9sa","Distal",1,"G4",19913.679,0.4529,"G",4
"E.coli EW11","DV565",5,"DMSO","M9sa","Distal",1,"G5",19913.679,0.3704,"G",5
"E.coli EW11","DV565",6,"DMSO","M9sa","Distal",1,"G6",19913.679,0.4575,"G",6
"E.coli EW11","DV565",1,"4-HT","M9sa","Distal",1,"G7",19913.679,0.277,"G",7
"E.coli EW11","DV565",2,"4-HT","M9sa","Distal",1,"G8",19913.679,0.1185,"G",8
"E.coli EW11","DV565",3,"4-HT","M9sa","Distal",1,"G9",19913.679,0.3349,"G",9
"E.coli EW11","DV565",4,"4-HT","M9sa","Distal",1,"G10",19913.679,0.165,"G",10
"E.coli EW11","DV565",5,"4-HT","M9sa","Distal",1,"G11",19913.679,0.2248,"G",11
"E.coli EW11","DV565",6,"4-HT","M9sa","Distal",1,"G12",19913.679,0.2439,"G",12
"E.coli EW11","pLW003",1,"DMSO","M9sa","NegCtrl",1,"H1",19913.679,0.1136,"H",1
"E.coli EW11","pLW003",2,"DMSO","M9sa","NegCtrl",1,"H2",19913.679,0.1339,"H",2
"E.coli EW11","pLW003",3,"DMSO","M9sa","NegCtrl",1,"H3",19913.679,0.1071,"H",3
"E.coli EW11","pLW003",4,"DMSO","M9sa","NegCtrl",1,"H4",19913.679,0.0924,"H",4
"E.coli EW11","pLW003",5,"DMSO","M9sa","NegCtrl",1,"H5",19913.679,0.0878,"H",5
"E.coli EW11","pLW003",6,"DMSO","M9sa","NegCtrl",1,"H6",19913.679,0.1373,"H",6
"E.coli EW11","pLW003",1,"4-HT","M9sa","NegCtrl",1,"H7",19913.679,0.0883,"H",7
"E.coli EW11","pLW003",2,"4-HT","M9sa","NegCtrl",1,"H8",19913.679,0.0755,"H",8
"E.coli EW11","pLW003",3,"4-HT","M9sa","NegCtrl",1,"H9",19913.679,0.0805,"H",9
"E.coli EW11","pLW003",4,"4-HT","M9sa","NegCtrl",1,"H10",19913.679,0.0794,"H",10
"E.coli EW11","pLW003",5,"4-HT","M9sa","NegCtrl",1,"H11",19913.679,0.0768,"H",11
"E.coli EW11","pLW003",6,"4-HT","M9sa","NegCtrl",1,"H12",19913.679,0.0763,"H",12
"E.coli EW11","pLW002",1,"DMSO","M9sa","PosCtrl",1,"A1",20535.959,0.5382,"A",1
"E.coli EW11","pLW002",2,"DMSO","M9sa","PosCtrl",1,"A2",20535.959,0.2825,"A",2
"E.coli EW11","pLW002",3,"DMSO","M9sa","PosCtrl",1,"A3",20535.959,0.4201,"A",3
"E.coli EW11","pLW002",4,"DMSO","M9sa","PosCtrl",1,"A4",20535.959,0.1969,"A",4
"E.coli EW11","pLW002",5,"DMSO","M9sa","PosCtrl",1,"A5",20535.959,0.4027,"A",5
